Species,Species.n,T1,T2,HCR,Ftarget,noise.low,noise.high,rec.adjust,rec.adjust.single,rec.adjust.CV.single,AMOEBA_F
Cod,16,50000,150000,2,0.35,-2,2,1,1,0,0.4
Whiting,17,25000,166708,2,0.2,-2,2,1,1,0,0.2
Haddock,18,25000,132000,2,0.3,-1,1.5,1.8,1,2,0.3
Saithe,19,0,149098,2,0.4,-2,2,0.9,0.9,0,0.4
Mackerel,20,0,2580000,2,0.27,-4,2,1,1,0,0.25
Herring,21,0,1400000,2,0.26,-2,2,1,1,0,0.25
N.sandeel,22,500000,1000000,22,0.25,-2,2,1,1,2,0.3
S.sandeel,23,300000,500000,22,0.4,-2,2,1,1,2,0.4
Nor.pout,24,250000,400000,22,0.6,-1.5,2,1.5,1,2,0.4
Sprat,25,175000,350000,22,0.9,-1,2,1,1,2,0.7
Plaice,26,0,564599,2,0.3,-2,2,1,1,0,0.3
Sole,27,0,42838,2,0.2,-4,3,1,1,0,0.2
