"region","reg.name","quarter","no.scats","tot.otos","meas.otos"
"1","Shetland","1",95,18231,5012
"1","Shetland","2",0,NA,NA
"1","Shetland","3",19,770,307
"1","Shetland","4",130,5503,2145
"2","Orkney & Northern North Sea","1",339,20889,8157
"2","Orkney & Northern North Sea","2",17,623,267
"2","Orkney & Northern North Sea","3",29,2264,836
"2","Orkney & Northern North Sea","4",326,22380,7917
"3","Central North Sea","1",127,9463,3407
"3","Central North Sea","2",65,2598,1126
"3","Central North Sea","3",47,4174,1408
"3","Central North Sea","4",117,9451,3584
"4","Southern North Sea","1",131,2980,2467
"4","Southern North Sea","2",105,3197,1892
"4","Southern North Sea","3",135,3182,2464
"4","Southern North Sea","4",58,1918,1205
"5","Inner Hebrides","1",142,4302,2898
"5","Inner Hebrides","2",1,1,1
"5","Inner Hebrides","3",7,198,101
"5","Inner Hebrides","4",177,3683,2778
"6","Outer Hebrides","1",157,4300,2557
"6","Outer Hebrides","2",87,1551,1198
"6","Outer Hebrides","3",77,1813,1237
"6","Outer Hebrides","4",198,3409,2535
