"","dtrawlGRH","pseineMAC","dtrawlHAD","dtrawlSAI","dtrawlNCO","pseineBWH","pseineSSH","dlineNCO","dseineNCO","netNCO","pseineCAP"
"Blue_whiting",0,0,0,0,0,0,0,0,0,0,0
"Capelin",0,0,0,0,0,0,0,0,0,0,0
"Green_halibut",0,0,0,0,0,0,0,0,0,0,0
"Haddock",0,0,0,0,0,0,0,0,0,0,0
"Long_rough_dab",0,0,0,0,0,0,0,0,0,0,0
"Mackerel",0,0,0,0,0,0,0,0,0,0,0
"North_atl_cod",0,0,0,0,0,0,0,0,0,0,0
"Norwegian_ssh",0,0,0,0,0,0,0,0,0,0,0
"Polar_cod",0,0,0,0,0,0,0,0,0,0,0
"Redfish",0,0,0,0,0,0,0,0,0,0,0
"Saithe",0,0,0,0,0,0,0,0,0,0,0
