"","sizeclass1","sizeclass2","sizeclass3","sizeclass4","sizeclass5","sizeclass6","sizeclass7","sizeclass8","sizeclass9","sizeclass10"
"Blue_whiting",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Capelin",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Green_halibut",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Haddock",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Long_rough_dab",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Mackerel",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"North_atl_cod",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Norwegian_ssh",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Polar_cod",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Redfish",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
"Saithe",0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
